"ObjetoOriginal","ObjetoNovo"
"Z_MOVI_USD","ZESZ_MOVI_USD"
"ZDE_CD_COLETA","ZESZDE_CD_COLETA"
"ZSDT_RETORNO_NF","ZESZSDT_RETORNO_NF"
"ZORIGEM_DESC","ZESZORIGEM_DESC"
"ZDE_SALDO_ESTORNO","ZESZDE_SALDO_ESTORNO"
"ZCOCKPIT","ZESZCOCKPIT"
"ZMARCA_VEIC","ZESZMARCA_VEIC"
"ZDE_STATUS_BOL_PROD","ZESZDE_STATUS_BOL_PROD"
"ZDE_ID_NOTA","ZESZDE_ID_NOTA"
"ZFUNCAODRE","ZESZFUNCAODRE"
"ZGLE0029","ZESZGLE0029"
"ZDE_REME_CNPJ_TX","ZESZDE_REME_CNPJ_TX"
"ZDM_DS_OBS_ROM","ZESZDM_DS_OBS_ROM"
"ZDM_TIPO_PARCEIRO","ZESZDM_TIPO_PARCEIRO"
"ZDE_NAO_ASSOCI_FLAG","ZESZDE_NAO_ASSOCI_FLAG"
"ZDE_BUKRS_RECEB","ZESZDE_BUKRS_RECEB"
"ZCHAR30","ZESZCHAR30"
"ZXNFE_C_PRT_DEST","ZESZXNFE_C_PRT_DEST"
"ZDE_NOSSO_NUMERO","ZESZDE_NOSSO_NUMERO"
"ZDM_SE_TYPES","ZESZDM_SE_TYPES"
"ZDE_HVI_CSP","ZESZDE_HVI_CSP"
"ZDE_OBS_245","ZESZDE_OBS_245"
"ZES_AREA","ZESZES_AREA"
"ZEDSMODELO","ZESZEDSMODELO"
"ZDM_SE_SEQUENCIA","ZESZDM_SE_SEQUENCIA"
"ZGLE0009","ZESZGLE0009"
"ZDE_COD_OPERACAO","ZESZDE_COD_OPERACAO"
"ZD_DN_EMPRESA","ZESZD_DN_EMPRESA"
"ZBUKRS_ATE","ZESZBUKRS_ATE"
"ZSSD_APROV_LIB_EMB_EST","ZESZSSD_APROV_LIB_EMB_EST"
"ZSDE_CANCELADO","ZESZSDE_CANCELADO"
"ZDE_VL_FT_PEDE_USD","ZESZDE_VL_FT_PEDE_USD"
"ZID_INTER","ZESZID_INTER"
"ZVALORLIMITE","ZESZVALORLIMITE"
"ZCA_CAMPOS_MODIFICACAO","ZESZCA_CAMPOS_MODIFICACAO"
"ZID_RBEN","ZESZID_RBEN"
"Z_MEMO_FORMULARIO","ZESZ_MEMO_FORMULARIO"
